N,bst size,bst maxHeight, bst aveHeight,log(size),sqrt(size),log(N),sqrt(N)
6327,378,13,8.0,5.934894195619588,19.44222209522358,8.752581469146884,79.54244150137711
6328,378,13,8.0,5.934894195619588,19.44222209522358,8.75273950944749,79.54872720540537
6329,380,13,8.0,5.940171252720432,19.493588689617926,8.752897524775305,79.55501241279521
6330,372,13,8.0,5.918893854273146,19.28730152198591,8.753055515138222,79.56129712366435
6331,372,13,8.0,5.918893854273146,19.28730152198591,8.753213480544126,79.56758133813042
6332,364,13,8.0,5.8971538676367405,19.078784028338912,8.753371421000903,79.57386505631105
6333,354,13,8.0,5.869296913133774,18.81488772222678,8.753529336516431,79.58014827832379
6334,354,13,8.0,5.869296913133774,18.81488772222678,8.753687227098585,79.58643100428615
6335,353,13,8.0,5.8664680569332965,18.788294228055936,8.75384509275524,79.59271323431561
6336,361,13,8.0,5.8888779583328805,19.0,8.754002933494261,79.5989949685296
6337,371,13,8.0,5.916202062607435,19.261360284258224,8.754160749323518,79.60527620704548
6338,370,13,8.0,5.91350300563827,19.235384061671343,8.754318540250866,79.61155694998057
6339,369,13,8.0,5.910796644040527,19.209372712298546,8.754476306284166,79.61783719745218
6340,368,13,8.0,5.908082938168931,19.183326093250876,8.754634047431272,79.62411694957753
6341,367,13,8.0,5.905361848054571,19.157244060668017,8.754791763700032,79.63039620647382
6342,367,13,8.0,5.905361848054571,19.157244060668017,8.754949455098293,79.63667496825819
6343,374,13,8.0,5.924255797414532,19.339079605813716,8.755107121633896,79.64295323504773
6344,373,13,8.0,5.921578419643816,19.313207915827967,8.755264763314685,79.64923100695951
6345,372,13,8.0,5.918893854273146,19.28730152198591,8.755422380148488,79.65550828411052
6346,367,13,8.0,5.905361848054571,19.157244060668017,8.75557997214314,79.66178506661774
6347,359,13,8.0,5.883322388488279,18.947295321496416,8.75573753930647,79.66806135459805
6348,358,13,8.0,5.8805329864007,18.920887928424502,8.7558950816463,79.67433714816836
6349,364,13,8.0,5.8971538676367405,19.078784028338912,8.75605259917045,79.68061244744545
6350,364,13,8.0,5.8971538676367405,19.078784028338912,8.756210091886738,79.68688725254614
6351,374,13,8.0,5.924255797414532,19.339079605813716,8.756367559802975,79.69316156358713
6352,380,13,8.0,5.940171252720432,19.493588689617926,8.756525002926972,79.6994353806851
6353,382,13,8.0,5.945420608606575,19.544820285692065,8.756682421266532,79.7057087039567
6354,381,13,8.0,5.942799375126701,19.519221295943137,8.756839814829462,79.71198153351854
6355,381,13,8.0,5.942799375126701,19.519221295943137,8.756997183623554,79.71825386948713
6356,376,13,8.0,5.929589143389895,19.390719429665317,8.757154527656606,79.724525711979
6357,375,13,8.0,5.926926025970411,19.364916731037084,8.757311846936409,79.73079706111058
6358,366,13,8.0,5.902633333401366,19.131126469708992,8.757469141470748,79.7370679169983
6359,370,13,8.0,5.91350300563827,19.235384061671343,8.757626411267408,79.74333827975852
6360,374,13,8.0,5.924255797414532,19.339079605813716,8.757783656334167,79.74960814950754
6361,373,13,8.0,5.921578419643816,19.313207915827967,8.757940876678804,79.75587752636166
6362,379,13,8.0,5.937536205082426,19.467922333931785,8.758098072309089,79.76214641043707
6363,372,13,8.0,5.918893854273146,19.28730152198591,8.758255243232792,79.76841480184999
6364,372,13,8.0,5.918893854273146,19.28730152198591,8.758412389457677,79.77468270071653
6365,371,13,8.0,5.916202062607435,19.261360284258224,8.758569510991506,79.78095010715278
6366,374,13,8.0,5.924255797414532,19.339079605813716,8.758726607842037,79.78721702127478
6367,369,13,8.0,5.910796644040527,19.209372712298546,8.758883680017025,79.79348344319854
6368,369,13,8.0,5.910796644040527,19.209372712298546,8.75904072752422,79.79974937304002
6369,368,13,8.0,5.908082938168931,19.183326093250876,8.759197750371365,79.8060148109151
6370,367,13,8.0,5.905361848054571,19.157244060668017,8.759354748566208,79.81227975693966
6371,367,13,8.0,5.905361848054571,19.157244060668017,8.759511722116487,79.81854421122951
6372,367,13,8.0,5.905361848054571,19.157244060668017,8.759668671029939,79.82480817390042
6373,367,13,8.0,5.905361848054571,19.157244060668017,8.759825595314295,79.83107164506812
6374,360,13,8.0,5.886104031450156,18.973665961010276,8.759982494977281,79.8373346248483
6375,359,13,8.0,5.883322388488279,18.947295321496416,8.760139370026627,79.84359711335657
6376,351,13,8.0,5.860786223465865,18.734993995195193,8.760296220470051,79.84985911070852
6377,356,13,8.0,5.87493073085203,18.867962264113206,8.760453046315272,79.85612061701971
6378,365,13,8.0,5.8998973535824915,19.1049731745428,8.760609847570002,79.86238163240563
6379,364,13,8.0,5.8971538676367405,19.078784028338912,8.760766624241956,79.86864215698174
